(50, 100, 0.01, 0.5, 128, 7, 0.5785, 0.3921, 0.4879, 0.311, 0.9536, 0.1529, 0.0757, 0.0327, 0.9641, 0.1765, 0.1066, 0.1)
(50, 100, 0.1, 0.5, 128, 7, 0.5741, 0.3903, 0.488, 0.3062, 0.9536, 0.153, 0.076, 0.0328, 0.9641, 0.1765, 0.1066, 0.0999)
(50, 100, 0.001, 0.5, 128, 7, 0.5758, 0.3887, 0.4909, 0.304, 0.9533, 0.1423, 0.0552, 0.0236, 0.964, 0.162, 0.0773, 0.0677)
(5, 100, 0.01, 0.5, 128, 7, 0.5697, 0.3733, 0.4815, 0.2942, 0.9528, 0.1525, 0.075, 0.0324, 0.9633, 0.1749, 0.1052, 0.0993)
(5, 100, 0.1, 0.5, 128, 7, 0.5732, 0.3745, 0.484, 0.2932, 0.9528, 0.1524, 0.0745, 0.0322, 0.9632, 0.1748, 0.1049, 0.099)
(5, 100, 0.001, 0.5, 128, 7, 0.5739, 0.3733, 0.4856, 0.2918, 0.9527, 0.1413, 0.0536, 0.0227, 0.9632, 0.1598, 0.0733, 0.0645)
(5, 100, 0.001, 0.25, 128, 7, 0.5774, 0.3779, 0.4915, 0.2977, 0.9514, 0.146, 0.0666, 0.029, 0.9591, 0.1666, 0.0923, 0.0867)
(5, 100, 0.1, 0.25, 128, 7, 0.5726, 0.3763, 0.484, 0.2967, 0.9514, 0.1509, 0.074, 0.0316, 0.9591, 0.171, 0.0986, 0.0943)
(50, 100, 0.01, 0.25, 128, 7, 0.582, 0.3998, 0.4946, 0.3182, 0.9514, 0.1509, 0.0741, 0.0317, 0.9593, 0.1717, 0.0987, 0.0941)
(50, 100, 0.1, 0.25, 128, 7, 0.5814, 0.3979, 0.4898, 0.3153, 0.9514, 0.1509, 0.074, 0.0316, 0.9594, 0.1718, 0.0986, 0.0939)
(50, 100, 0.001, 0.25, 128, 7, 0.5799, 0.396, 0.4925, 0.3136, 0.9514, 0.1461, 0.0673, 0.0293, 0.9594, 0.1669, 0.0944, 0.0884)
(5, 100, 0.01, 0.25, 128, 7, 0.5747, 0.3801, 0.4891, 0.3006, 0.9514, 0.151, 0.074, 0.0316, 0.9591, 0.1712, 0.0982, 0.0939)
(50, 100, 0.1, 0.75, 128, 7, 0.5662, 0.3772, 0.48, 0.2945, 0.948, 0.1423, 0.0596, 0.0272, 0.9659, 0.1725, 0.0975, 0.0909)
(50, 100, 0.01, 0.75, 128, 7, 0.5654, 0.3752, 0.4808, 0.2909, 0.948, 0.142, 0.0593, 0.0269, 0.966, 0.1723, 0.0969, 0.09)
(50, 100, 0.001, 0.75, 128, 7, 0.5638, 0.3726, 0.4787, 0.2877, 0.9467, 0.1335, 0.0449, 0.0197, 0.9648, 0.1591, 0.0754, 0.0645)
(5, 100, 0.01, 0.75, 128, 7, 0.5615, 0.3598, 0.4736, 0.2828, 0.9445, 0.1402, 0.0566, 0.0253, 0.9624, 0.1651, 0.0865, 0.081)
(5, 100, 0.1, 0.75, 128, 7, 0.5612, 0.3619, 0.4705, 0.2845, 0.9445, 0.1397, 0.056, 0.0249, 0.9624, 0.1637, 0.0847, 0.0792)
(5, 100, 0.001, 0.75, 128, 7, 0.5627, 0.3587, 0.4691, 0.2802, 0.943, 0.1311, 0.0412, 0.0173, 0.961, 0.1511, 0.0631, 0.0532)
